"filename", "language", "Docker", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoopDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -885, 0, 0, -24, -47, -956
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\LoopsList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -742, 0, 0, -7, -25, -774
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\OPCUAConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -231, 0, 0, -12, -18, -261
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\OscillationClusters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -336, 0, 0, -7, -20, -363
"l:\Office\CLPM\clpm-app-latest\frontend\src\pages\Reports.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, -219, 0, 0, -4, -7, -230
"l:\Office\CLPM\clpm-app-latest\frontend\src\services\opcua-api.ts", "TypeScript", 0, 0, 0, 0, -175, 0, 0, 0, -15, -39, -229
"l:\Office\CLPM\clpm-app-latest\frontend\src\types\opcua.ts", "TypeScript", 0, 0, 0, 0, -163, 0, 0, 0, -9, -20, -192
"l:\Office\CLPM\clpm-app-latest\frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, -8, 0, 0, 0, -1, -3, -12
"l:\Office\CLPM\clpm-app-latest\frontend\tailwind.config.js", "JavaScript", 0, -51, 0, 0, 0, 0, 0, 0, -1, -1, -53
"l:\Office\CLPM\clpm-app-latest\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, -12, 0, 0, 0, 0, 0, -1, -13
"l:\Office\CLPM\clpm-app-latest\frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, -19, 0, 0, 0, -2, -4, -25
"Total", "-", 16, 948, 87, 4, 982, -7866, -56, -12, -103, -233, -6233
